pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,dia_semana_quarta-feira,dia_semana_quinta-feira,dia_semana_segunda-feira,dia_semana_sexta-feira,dia_semana_sábado,dia_semana_terça-feira
2,0,1,0,0,1,1,2,1,0,0,0,0,0
6,1,1,0,1,4,1,6,1,0,0,0,0,0
5,0,3,0,2,0,3,2,1,0,0,0,0,0
5,0,1,0,4,0,1,2,1,0,0,0,0,0
5,0,1,1,1,2,2,4,1,0,0,0,0,0
4,2,0,0,1,2,0,5,1,0,0,0,0,0
2,0,1,0,0,1,1,2,1,0,0,0,0,0
2,0,1,0,1,0,1,2,1,0,0,0,0,0
2,1,0,0,0,1,0,2,1,0,0,0,0,0
2,0,0,0,2,0,0,1,1,0,0,0,0,0
3,0,0,0,2,1,0,3,1,0,0,0,0,0
2,0,0,0,1,1,0,2,1,0,0,0,0,0
5,0,0,4,1,0,4,2,1,0,0,0,0,0
6,0,2,1,2,1,3,6,0,1,0,0,0,0
2,0,1,0,0,1,1,2,1,0,0,0,0,0
4,0,0,1,1,2,1,4,0,1,0,0,0,0
1,0,1,0,0,0,1,1,0,1,0,0,0,0
4,0,1,2,0,1,3,2,0,1,0,0,0,0
4,1,0,0,1,2,0,4,0,1,0,0,0,0
2,0,0,0,2,0,0,2,0,1,0,0,0,0
2,0,2,0,0,0,2,1,0,1,0,0,0,0
2,0,1,0,1,0,1,2,0,1,0,0,0,0
5,0,1,0,3,2,1,5,0,1,0,0,0,0
2,0,0,1,0,1,1,2,0,1,0,0,0,0
3,0,0,0,2,1,0,3,0,1,0,0,0,0
4,0,1,1,2,0,2,2,0,1,0,0,0,0
3,0,0,1,2,0,1,2,0,1,0,0,0,0
3,0,1,0,2,0,1,3,0,1,0,0,0,0
1,0,0,1,0,0,1,1,0,1,0,0,0,0
3,0,3,0,0,0,3,2,0,1,0,0,0,0
4,0,0,2,1,2,2,4,0,1,0,0,0,0
2,0,1,0,1,0,1,2,0,1,0,0,0,0
3,0,1,0,1,1,1,2,0,1,0,0,0,0
2,0,0,0,1,2,0,3,0,1,0,0,0,0
2,0,0,0,1,2,0,3,0,1,0,0,0,0
3,1,0,0,1,1,0,3,0,1,0,0,0,0
7,1,0,3,2,1,3,4,0,1,0,0,0,0
2,0,1,0,1,0,1,2,0,1,0,0,0,0
5,0,0,0,4,1,0,2,0,0,0,1,0,0
8,0,7,0,1,0,7,3,0,0,0,1,0,0
3,0,0,1,1,1,1,3,0,0,0,1,0,0
2,0,0,0,2,0,0,2,0,0,0,1,0,0
4,0,0,1,2,4,1,7,0,0,0,1,0,0
8,5,0,0,2,3,0,6,0,0,0,1,0,0
2,0,0,1,0,1,1,2,0,0,0,1,0,0
3,0,1,0,1,2,1,3,0,0,0,1,0,0
3,0,0,1,1,1,1,2,0,0,0,1,0,0
4,0,3,0,0,1,3,2,0,0,0,1,0,0
3,0,0,1,1,2,1,4,0,0,0,1,0,0
4,0,0,0,3,1,0,4,0,0,0,1,0,0
3,0,2,0,1,0,2,2,0,0,0,1,0,0
8,0,1,1,5,2,2,5,0,0,0,1,0,0
17,0,1,0,15,1,1,8,0,0,0,1,0,0
3,0,1,0,1,1,1,3,0,0,0,1,0,0
2,0,1,0,0,2,1,3,0,0,0,1,0,0
7,0,0,1,5,1,1,3,0,0,0,1,0,0
6,1,0,0,2,4,0,6,0,0,0,1,0,0
2,1,0,1,0,0,1,2,0,0,0,1,0,0
4,0,1,0,2,1,1,3,0,0,0,1,0,0
1,0,1,0,0,0,1,1,0,0,0,1,0,0
4,0,2,2,0,0,4,1,0,0,0,1,0,0
4,0,1,0,2,3,1,6,0,0,0,1,0,0
2,0,0,0,1,1,0,2,0,0,0,1,0,0
4,1,0,0,3,0,0,3,0,0,0,1,0,0
3,0,1,0,1,1,1,3,0,0,0,1,0,0
3,0,1,0,1,1,1,3,0,0,0,1,0,0
6,0,1,0,5,0,1,2,0,0,0,1,0,0
3,0,1,0,1,1,1,2,0,0,0,1,0,0
2,0,1,0,1,0,1,2,0,0,0,1,0,0
4,0,1,1,1,1,2,3,0,0,0,1,0,0
3,0,0,2,1,0,2,2,0,0,0,1,0,0
2,0,0,1,0,1,1,2,0,0,0,1,0,0
3,0,1,0,1,1,1,3,0,0,0,1,0,0
5,1,1,1,1,1,2,4,0,0,0,1,0,0
4,0,1,0,2,4,1,7,0,0,0,1,0,0
2,0,1,0,1,0,1,2,0,0,0,0,1,0
3,0,1,0,1,1,1,3,0,0,0,1,0,0
1,0,0,1,0,0,1,1,0,0,0,0,1,0
2,0,1,0,1,0,1,2,0,0,0,0,1,0
4,1,0,1,1,1,1,3,0,0,0,1,0,0
33,1,15,0,16,1,15,3,0,0,0,0,1,0
3,0,1,0,1,1,1,3,0,0,0,0,1,0
1,0,0,1,0,0,1,1,0,0,0,0,1,0
4,0,0,0,2,3,0,5,0,0,0,0,1,0
2,0,0,0,2,0,0,2,0,0,0,0,1,0
5,0,3,0,2,0,3,2,0,0,0,0,1,0
5,0,3,0,2,0,3,2,0,0,0,0,1,0
11,0,2,0,8,1,2,4,0,0,0,0,1,0
5,0,3,0,1,1,3,4,0,0,0,0,1,0
5,0,1,0,3,1,1,2,0,0,0,0,1,0
7,0,4,0,2,2,4,4,0,0,0,0,1,0
4,1,0,0,3,0,0,4,0,0,0,0,1,0
3,0,1,0,1,1,1,3,0,0,0,0,1,0
2,0,0,0,1,1,0,2,0,0,0,0,1,0
2,0,0,0,2,0,0,2,0,0,0,0,1,0
5,0,0,1,2,3,1,6,0,0,0,0,1,0
4,0,0,0,3,1,0,3,0,0,0,0,1,0
3,0,0,0,3,0,0,3,0,0,0,0,1,0
2,0,0,0,2,0,0,2,0,0,0,0,1,0
7,2,1,2,1,1,3,3,0,0,0,0,1,0
2,1,0,0,0,1,0,2,0,0,0,0,1,0
4,0,1,0,2,2,1,4,0,0,0,0,1,0
2,1,0,0,1,0,0,2,0,0,0,0,1,0
